dispatching_base_number,date,month,active_vehicles,trips
B02598,09-07-2015,July,1115,10034
B02765,10-07-2015,July,450,3778
B02682,11-07-2015,July,1396,12189
B02617,12-07-2015,July,1532,14263
B02512,13-07-2015,July,269,2092
B02682,14-07-2015,July,1468,13786
B02765,15-07-2015,July,536,4609
B02598,16-07-2015,July,1181,11640
B02764,17-07-2015,July,4137,36844
B02617,18-07-2015,July,1590,16996
B02682,19-07-2015,July,1523,16088
B02764,20-07-2015,July,4395,43561
B02765,21-07-2015,July,599,5909
B02512,22-07-2015,July,281,2408
B02598,23-07-2015,July,1216,13062
B02764,24-07-2015,July,4129,45858
B02512,25-07-2015,July,236,2055
B02598,26-07-2015,July,1111,12678
B02765,27-07-2015,July,583,6307
B02617,28-07-2015,July,1486,16999
B02682,29-07-2015,July,1428,16448
B02682,30-07-2015,July,1261,14517
B02764,31-07-2015,July,3651,41209
B02765,01-08-2015,August,262,1911
B02598,01-08-2015,August,1070,10050
B02512,01-08-2015,August,238,1772
B02682,01-08-2015,August,1135,10416
B02764,01-08-2015,August,3831,33802
B02617,01-08-2015,August,1463,13462
B02617,01-08-2015,August,1293,14662
B02765,02-08-2015,August,521,5500
B02512,03-08-2015,August,210,1996
B02598,04-08-2015,August,1003,11517
B02598,05-08-2015,August,934,9052
B02512,06-08-2015,August,207,1576
B02617,07-08-2015,August,1214,11824
B02764,08-08-2015,August,3524,33448
B02682,09-08-2015,August,1164,11323
B02765,10-08-2015,August,508,4875
B02764,11-08-2015,August,3826,32473
B02512,12-08-2015,August,241,1797
B02682,13-08-2015,August,1314,11887
B02617,14-08-2015,August,1378,12524
B02598,15-08-2015,August,1066,9463
B02765,16-08-2015,August,578,4907
B02598,17-08-2015,August,1078,9538
B02682,18-08-2015,August,1314,11724
B02617,19-08-2015,August,1394,12016
B02765,20-08-2015,August,586,5059
B02764,21-08-2015,August,3842,32317
B02512,22-08-2015,August,228,1589
B02598,23-08-2015,August,1127,11739
B02512,24-08-2015,August,250,2120
B02682,25-08-2015,August,1428,14591
B02764,26-08-2015,August,4110,39110
B02765,27-08-2015,August,663,6447
B02617,28-08-2015,August,1452,14750
B02764,29-08-2015,August,4384,44755
B02617,30-08-2015,August,1574,16856
B02598,31-08-2015,August,1186,12758
B02617,01-09-2015,September,1455,13165
B02512,01-09-2015,September,224,1560
B02764,01-09-2015,September,3820,33517
B02682,01-09-2015,September,1140,10477
B02598,01-09-2015,September,1070,9538
B02765,01-09-2015,September,280,2039
B02682,01-09-2015,September,1497,16342
B02765,02-09-2015,September,736,7824
B02512,03-09-2015,September,272,2380
B02598,04-09-2015,September,1044,12132
B02682,05-09-2015,September,1374,16149
B02765,06-09-2015,September,685,7658
B02617,07-09-2015,September,1443,16098
B02512,08-09-2015,September,238,2149
B02764,09-09-2015,September,3981,44194
B02512,10-09-2015,September,199,1312
B02617,11-09-2015,September,1248,10696
B02682,12-09-2015,September,1220,10970
B02764,13-09-2015,September,3478,30157
B02598,14-09-2015,September,909,8271
B02765,15-09-2015,September,566,5034
B02598,16-09-2015,September,966,8943
B02617,17-09-2015,September,1332,11720
B02764,18-09-2015,September,3734,31173
B02682,19-09-2015,September,1262,11714
B02765,20-09-2015,September,665,5823
B02512,21-09-2015,September,238,1844
B02764,22-09-2015,September,3965,34686
B02512,23-09-2015,September,247,1869
B02598,24-09-2015,September,1061,9954
B02682,25-09-2015,September,1346,12497
B02617,26-09-2015,September,1456,13719
B02765,27-09-2015,September,698,6390
B02512,28-09-2015,September,246,1647
B02598,29-09-2015,September,1076,9405
B02765,30-09-2015,September,706,6178
B02682,01-10-2015,October,1057,11629
B02617,01-10-2015,October,1331,13856
B02598,01-10-2015,October,949,10287
B02512,01-10-2015,October,206,1646
B02764,01-10-2015,October,3558,38864
B02765,01-10-2015,October,245,2202
B02682,01-10-2015,October,1395,12693
B02617,02-10-2015,October,1473,12811
B02764,03-10-2015,October,3934,31957
B02598,04-10-2015,October,1134,10661
B02617,05-10-2015,October,1539,14461
B02682,06-10-2015,October,1465,13814
B02512,07-10-2015,October,243,1797
B02765,08-10-2015,October,745,6744
B02764,09-10-2015,October,4101,36091
B02765,10-10-2015,October,786,7563
B02617,11-10-2015,October,1551,14677
B02598,12-10-2015,October,1114,10755
B02512,13-10-2015,October,272,2056
B02765,01-11-2015,November,220,1672
B02598,01-11-2015,November,832,7176
B02682,01-11-2015,November,943,8461
B02764,01-11-2015,November,3186,27681
B02617,01-11-2015,November,1228,10932
B02512,01-11-2015,November,162,1104
B02764,01-12-2015,December,3499,26852
B02765,01-12-2015,December,279,1711
B02512,01-12-2015,December,217,1399
B02598,01-12-2015,December,964,7915
B02682,01-12-2015,December,1082,9107
B02617,01-12-2015,December,1323,10662
